"Got Your Love|Dirtyphonics,RIOT"
"Pictures from Bashu (arr. Yi-Wen Jiang for flute, violin, viola and cello): No. 1. Morning Song|Hu-Wei Huang,Yi-Wen Jiang,Eugenia Zukerman,Shanghai Quartet"
"Pictures from Bashu (arr. Yi-Wen Jiang for flute, violin, viola and cello): No. 2. Echo in a Deep Valley|Hu-Wei Huang,Yi-Wen Jiang,Eugenia Zukerman,Shanghai Quartet"
"Pictures from Bashu (arr. Yi-Wen Jiang for flute, violin, viola and cello): No. 3. Lyrical Tune|Hu-Wei Huang,Yi-Wen Jiang,Eugenia Zukerman,Shanghai Quartet"
"Pictures from Bashu (arr. Yi-Wen Jiang for flute, violin, viola and cello): No. 4. Xuan Zi Dance|Hu-Wei Huang,Yi-Wen Jiang,Eugenia Zukerman,Shanghai Quartet"
"Pictures from Bashu (arr. Yi-Wen Jiang for flute, violin, viola and cello): No. 5. Spring in Chengdu|Hu-Wei Huang,Yi-Wen Jiang,Eugenia Zukerman,Shanghai Quartet"
"Pictures from Bashu (arr. Yi-Wen Jiang for flute, violin, viola and cello): No. 6. Evening Dance at Aba|Hu-Wei Huang,Yi-Wen Jiang,Eugenia Zukerman,Shanghai Quartet"
"Shandong Folk Suite (arr. Yi-Wen Jiang for string quartet): No. 1. Native Tune|Yi-Wen Jiang,Shi-Guang Cui,Shanghai Quartet"
"Shandong Folk Suite (arr. Yi-Wen Jiang for string quartet): No. 5. Drizzle|Yi-Wen Jiang,Shi-Guang Cui,Shanghai Quartet"
"Red Flowers in Bloom (arr. Yi-Wen Jiang for string quartet)|Yi-Wen Jiang,Feng Liu,Shanghai Quartet"
"Symphony No. 9 in E Minor, Op. 95, B. 178, ""From the New World"": I. Adagio - Allegro molto|Antonín Dvořák,Youth Orchestra of the Americas,Jean-Pascal Hamelin"
"Symphony No. 9 in E Minor, Op. 95, B. 178, ""From the New World"": II. Largo|Antonín Dvořák,Youth Orchestra of the Americas,Jean-Pascal Hamelin"
"Symphony No. 9 in E Minor, Op. 95, B. 178, ""From the New World"": III. Molto vivace|Antonín Dvořák,Youth Orchestra of the Americas,Jean-Pascal Hamelin"
"Symphony No. 9 in E Minor, Op. 95, B. 178, ""From the New World"": IV. Allegro con fuoco|Antonín Dvořák,Youth Orchestra of the Americas,Jean-Pascal Hamelin"
"Danzon No. 2|Arturo Márquez,Youth Orchestra of the Americas,Jean-Pascal Hamelin"
"Bootlegger's Tarantella|John Estacio,Youth Orchestra of the Americas,Jean-Pascal Hamelin"
"The Serpent|Alix Perez,Eprom"
"Chiron|Alix Perez,Eprom"
"Minotaur|Alix Perez,Eprom"
"Into Light|Alix Perez,Eprom"
"Drumming: Part I|Steve Reich,Rebecca Armstrong,Jay Clayton,Erin Lesser,Sō Percussion"
"Drumming: Part II|Steve Reich,Rebecca Armstrong,Jay Clayton,Erin Lesser,Sō Percussion"
"Drumming: Part III|Steve Reich,Rebecca Armstrong,Jay Clayton,Erin Lesser,Sō Percussion"
"Drumming: Part IV|Steve Reich,Rebecca Armstrong,Jay Clayton,Erin Lesser,Sō Percussion"
"Moment|King Henry,Rhye"
"It's the Future Knocking - International Observer's No Smoking Dub|Pitch Black,International Observer"
"Invisible Chatter - Kaminanda Remix|Pitch Black,Kaminanda"
